,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
97,09:17:42,23320.0,"('Bluish_Green', 1)","('Red', 86, 23320.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
98,09:17:44,23320.0,"('Bluish_Green', 1)","('Red', 86, 23320.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
99,09:17:45,23320.0,"('Bluish_Green', 1)","('Red', 86, 23320.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
100,09:17:47,23319.0,"('Bluish_Green', 1)","('Red', 86, 23319.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
101,09:17:49,23319.0,"('Bluish_Green', 1)","('Red', 86, 23319.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
102,09:17:50,23319.0,"('Bluish_Green', 1)","('Red', 86, 23319.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
103,09:17:52,23320.0,"('Bluish_Green', 1)","('Red', 86, 23320.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
104,09:17:53,23319.0,"('Bluish_Green', 1)","('Red', 86, 23319.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
105,09:17:55,23319.0,"('Bluish_Green', 1)","('Red', 86, 23319.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
106,09:17:57,23319.0,"('Bluish_Green', 1)","('Red', 86, 23319.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
107,09:17:58,23316.0,"('Bluish_Green', 1)","('Red', 86, 23316.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
108,09:18:00,23323.0,"('Bluish_Green', 1)","('Red', 86, 23323.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
109,09:18:01,23320.0,"('Bluish_Green', 1)","('Red', 86, 23320.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
110,09:18:03,23319.0,"('Bluish_Green', 1)","('Red', 86, 23319.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
111,09:18:05,23324.0,"('Bluish_Green', 1)","('Red', 86, 23324.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
112,09:18:06,23326.0,"('Bluish_Green', 1)","('Red', 86, 23326.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
113,09:18:08,23325.0,"('Bluish_Green', 1)","('Red', 86, 23325.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
114,09:18:10,23325.0,"('Bluish_Green', 1)","('Red', 86, 23325.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
115,09:18:11,23329.0,"('Bluish_Green', 1)","('Red', 86, 23329.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
